mouse,weight,day,cage
F1a,18.2,29,F1
F1b,23,29,F1
F1c,20.3,29,F1
F2a,19.1,29,F2
F2b,19.3,29,F2
F2c,21.7,29,F2
M1a,27.1,29,M1
M1b,30.7,29,M1
M1c,26.4,29,M1
M2a,25.1,29,M2
M2b,26.9,29,M2
M2c,27.2,29,M2
F1a,19,33,F1
F1b,22.9,33,F1
F1c,20.6,33,F1
F2a,19.5,33,F2
F2b,19.1,33,F2
F2c,22.6,33,F2
M1a,27.3,33,M1
M1b,31.1,33,M1
M1c,26.5,33,M1
M2a,25.7,33,M2
M2b,27.4,33,M2
M2c,28,33,M2
F1a,18.6,36,F1
F1b,23.3,36,F1
F1c,20.9,36,F1
F2a,20,36,F2
F2b,19.1,36,F2
F2c,23.3,36,F2
M1a,27.5,36,M1
M1b,31.4,36,M1
M1c,27.2,36,M1
M2a,26.1,36,M2
M2b,28,36,M2
M2c,28.2,36,M2
F1a,19.6,40,F1
F1b,23.6,40,F1
F1c,21.4,40,F1
F2a,20.2,40,F2
F2b,19,40,F2
F2c,23.2,40,F2
M1a,27.6,40,M1
M1b,31.3,40,M1
M1c,27.8,40,M1
M2a,26.5,40,M2
M2b,27.8,40,M2
M2c,28.6,40,M2
