	observed_features
F1W1	69
F1W10	48
F1W11	57
F1W12	77
F1W13	96
F1W2	95
F1W3	77
F1W4	29
F1W5	40
F1W6	65
F1W7	35
F1W8	60
F1W9	43
F2W1	93
F2W10	49
F2W11	108
F2W12	94
F2W13	92
F2W2	52
F2W3	59
F2W4	51
F2W5	16
F2W6	97
F2W7	38
F2W8	87
F2W9	39
M1W1	16
M1W10	52
M1W11	52
M1W12	73
M1W13	193
M1W2	100
M1W3	70
M1W4	94
M1W5	32
M1W6	88
M1W7	83
M1W8	124
M1W9	117
M2W1	109
M2W10	81
M2W11	130
M2W12	97
M2W13	180
M2W2	68
M2W3	82
M2W4	89
M2W5	81
M2W6	87
M2W7	88
M2W9	74
